"district","sfcode","bldgcode","schoolname","siteaddress","borough","zip","accessibility","longitude","latitude","koshermealtype","button","content"
"2","02513","M480","Urban Academy Laboratory High School","317 EAST  67 STREET","Manhattan","10065","Partially Accessible",-73.959777,40.765638,"non-kosher","FreeMeals","317 EAST  67 STREET, , NY 10065<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"3","03009","M009","P.S. 009 Sarah Anderson","100 WEST  84 STREET","Manhattan","10024","Partially Accessible",-73.974256,40.785234,"non-kosher","FreeMeals","100 WEST  84 STREET, , NY 10024<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"11","11103","X103","P.S. 103 Hector Fontanez","4125 CARPENTER AVENUE","Bronx","10466","No Accessibility",-73.86194,40.892198,"non-kosher","FreeMeals","4125 CARPENTER AVENUE, , NY 10466<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"25","25107","Q107","P.S. 107 Thomas A Dooley","167-02 45 AVENUE","Queens","11358","Fully Accessible",-73.799476,40.755364,"non-kosher","FreeMeals","167-02 45 AVENUE, , NY 11358<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"25","25164","Q164","P.S. 164","138-01 77 AVENUE","Queens","11367","No Accessibility",-73.823569,40.721514,"kosher","FreeMeals","138-01 77 AVENUE, , NY 11367<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>No Accessibility"
"32","32562","K296","Evergreen M.S. for Urban Exploration","125 COVERT STREET","Brooklyn","11207","No Accessibility",-73.910589,40.688647,"non-kosher","FreeMeals","125 COVERT STREET, , NY 11207<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"14","14318","K318","I.S. 318 Eugenio Maria De Hostos","101 WALTON STREET","Brooklyn","11206","Partially Accessible",-73.948771,40.703034,"non-kosher","FreeMeals","101 WALTON STREET, , NY 11206<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"27","27062","Q062","P.S. 062 Chester Park","97-25 108 STREET","Queens","11419","Fully Accessible",-73.835567,40.688359,"non-kosher","FreeMeals","97-25 108 STREET, , NY 11419<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"29","29356","Q231","Community Voices Middle School","145-00 SPRINGFIELD BOULEVARD","Queens","11413","No Accessibility",-73.759396,40.664809,"non-kosher","FreeMeals","145-00 SPRINGFIELD BOULEVARD, , NY 11413<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"13","13256","K256","P.S. 256 Benjamin Banneker","114 KOSCIUSZKO STREET","Brooklyn","11216","No Accessibility",-73.94961,40.690595,"non-kosher","FreeMeals","114 KOSCIUSZKO STREET, , NY 11216<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"2","02427","M620","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","111 EAST  33RD STREET","Manhattan","10016","Partially Accessible",-73.98107,40.74651,"non-kosher","FreeMeals","111 EAST  33RD STREET, , NY 10016<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"3","03075","M075","P.S. 75","735 WEST END AVENUE","Manhattan","10025","Partially Accessible",-73.973996,40.795109,"kosher","FreeMeals","735 WEST END AVENUE, , NY 10025<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>Partially Accessible"
"31","31501","R450","Curtis High School","105 HAMILTON AVENUE","Staten Island","10301","Partially Accessible",-74.082149,40.645436,"non-kosher","FreeMeals","105 HAMILTON AVENUE, , NY 10301<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"27","27104","Q104","P.S. 104 The Bays Water","26-01 MOTT AVENUE","Queens","11691","No Accessibility",-73.764621,40.608002,"non-kosher","FreeMeals","26-01 MOTT AVENUE, , NY 11691<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"12","12150","X150","P.S. 150 Charles James Fox","920 EAST 167 STREET","Bronx","10459","No Accessibility",-73.894349,40.82471,"non-kosher","FreeMeals","920 EAST 167 STREET, , NY 10459<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"14","14016","K016","P.S. 16","157 WILSON STREET","Brooklyn","11211","No Accessibility",-73.962049,40.706069,"kosher","FreeMeals","157 WILSON STREET, , NY 11211<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>No Accessibility"
"9","09294","X064","The Walton Avenue School","1425 WALTON AVENUE","Bronx","10452","No Accessibility",-73.915879,40.8404,"non-kosher","FreeMeals","1425 WALTON AVENUE, , NY 10452<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"27","27183","Q183","P.S. 183 Dr. Richard R. Green","2-45 BEACH  79 STREET","Queens","11693","No Accessibility",-73.805866,40.58922,"non-kosher","FreeMeals","2-45 BEACH  79 STREET, , NY 11693<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"28","28541","Q620","Thomas A. Edison Career and Technical Education High School","165-65 84 AVENUE","Queens","11432","Partially Accessible",-73.799692,40.716071,"non-kosher","FreeMeals","165-65 84 AVENUE, , NY 11432<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"17","17221","K221","P.S. 221","791 EMPIRE BOULEVARD","Brooklyn","11213","No Accessibility",-73.935753,40.663964,"kosher","FreeMeals","791 EMPIRE BOULEVARD, , NY 11213<br/><b>Kosher meal type: </b>kosher<br/><b>Accessibility: </b>No Accessibility"
"26","26503","Q405","Bayside High School","32-24 CORPORAL KENNEDY STREET","Queens","11361","Partially Accessible",-73.781041,40.771398,"non-kosher","FreeMeals","32-24 CORPORAL KENNEDY STREET, , NY 11361<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"28","28190","Q190","J.H.S. 190 Russell Sage","68-17 AUSTIN STREET","Queens","11375","Fully Accessible",-73.8517,40.723478,"non-kosher","FreeMeals","68-17 AUSTIN STREET, , NY 11375<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"31","31027","R027","I.S. 027 Anning S. Prall","11 CLOVE LAKE PLACE","Staten Island","10310","No Accessibility",-74.117818,40.628291,"non-kosher","FreeMeals","11 CLOVE LAKE PLACE, , NY 10310<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"8","08071","X071","P.S. 071 Rose E. Scala","3040 ROBERTS AVENUE","Bronx","10461","No Accessibility",-73.829562,40.845379,"non-kosher","FreeMeals","3040 ROBERTS AVENUE, , NY 10461<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"30","30122","Q122","P.S. 122 Mamie Fay","21-21 DITMARS BOULEVARD","Queens","11105","No Accessibility",-73.915785,40.780507,"non-kosher","FreeMeals","21-21 DITMARS BOULEVARD, , NY 11105<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"27","27223","Q223","P.S. 223 Lyndon B. Johnson","125-20 SUTPHIN BOULEVARD","Queens","11434","Partially Accessible",-73.78953,40.673898,"non-kosher","FreeMeals","125-20 SUTPHIN BOULEVARD, , NY 11434<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"18","18281","K232","East Flatbush Community Research School","905 WINTHROP STREET","Brooklyn","11203","No Accessibility",-73.928744,40.659088,"non-kosher","FreeMeals","905 WINTHROP STREET, , NY 11203<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"10","10524","X660","Crotona International High School","2474 CROTONA AVENUE","Bronx","10458","Partially Accessible",-73.882487,40.855392,"non-kosher","FreeMeals","2474 CROTONA AVENUE, , NY 10458<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"5","05010","M010","Frederick Douglass Academy","2581 7TH AVENUE","Manhattan","10039","Partially Accessible",-73.935746,40.823988,"non-kosher","FreeMeals","2581 7TH AVENUE, , NY 10039<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"19","19171","K171","I.S. 171 Abraham Lincoln","528 RIDGEWOOD AVENUE","Brooklyn","11208","No Accessibility",-73.869434,40.685852,"non-kosher","FreeMeals","528 RIDGEWOOD AVENUE, , NY 11208<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"12","12129","X129","M.S.129 Academy for Independent Learning and Leadership","2055 MAPES AVENUE","Bronx","10460","Partially Accessible",-73.886721,40.846128,"non-kosher","FreeMeals","2055 MAPES AVENUE, , NY 10460<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"27","27043","Q043","P.S. 043","160 BEACH  29 STREET","Queens","11691","Fully Accessible",-73.761086,40.59348,"non-kosher","FreeMeals","160 BEACH  29 STREET, , NY 11691<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"12","12047","X047","P.S. 047 John Randolph","1794 EAST 172 STREET","Bronx","10472","No Accessibility",-73.866974,40.832529,"non-kosher","FreeMeals","1794 EAST 172 STREET, , NY 10472<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"25","25189","Q189","J.H.S. 189 Daniel Carter Beard","144-80 BARCLAY AVENUE","Queens","11355","No Accessibility",-73.818399,40.759963,"non-kosher","FreeMeals","144-80 BARCLAY AVENUE, , NY 11355<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"20","20187","K486","The Christa McAuliffe School\I.S. 187","1171 65 STREET","Brooklyn","11219","No Accessibility",-74.003883,40.627929,"non-kosher","FreeMeals","1171 65 STREET, , NY 11219<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"30","30166","Q166","P.S. 166 Henry Gradstein","33-09 35 AVENUE","Queens","11106","Partially Accessible",-73.926249,40.757497,"non-kosher","FreeMeals","33-09 35 AVENUE, , NY 11106<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"31","31503","R435","New Dorp High School","465 NEW DORP LANE","Staten Island","10306","Partially Accessible",-74.105878,40.570909,"non-kosher","FreeMeals","465 NEW DORP LANE, , NY 10306<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"12","12563","X420","High School of World Cultures","1300 BOYNTON AVENUE","Bronx","10472","Partially Accessible",-73.878191,40.832508,"non-kosher","FreeMeals","1300 BOYNTON AVENUE, , NY 10472<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"19","19661","K302","Vista Academy","350 LINWOOD STREET","Brooklyn","11208","Partially Accessible",-73.884211,40.677112,"non-kosher","FreeMeals","350 LINWOOD STREET, , NY 11208<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"6","06052","M052","J.H.S. 052 Inwood","650 ACADEMY STREET","Manhattan","10034","No Accessibility",-73.925464,40.865556,"non-kosher","FreeMeals","650 ACADEMY STREET, , NY 10034<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"3","03163","M163","P.S. 163 Alfred E. Smith","163 WEST  97 STREET","Manhattan","10025","No Accessibility",-73.96847,40.795163,"non-kosher","FreeMeals","163 WEST  97 STREET, , NY 10025<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"14","14050","K050","J.H.S. 050 John D. Wells","183 SOUTH  3 STREET","Brooklyn","11211","No Accessibility",-73.960137,40.711915,"non-kosher","FreeMeals","183 SOUTH  3 STREET, , NY 11211<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"5","05030","M030","P.S. 030 Hernandez/Hughes","144-176 EAST 128 STREET","Manhattan","10035","Partially Accessible",-73.935461,40.805653,"non-kosher","FreeMeals","144-176 EAST 128 STREET, , NY 10035<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"11","11160","X160","P.S. 160 Walt Disney","4140 HUTCHINSON RIVER PKWAY EA","Bronx","10475","Partially Accessible",-73.823816,40.864073,"non-kosher","FreeMeals","4140 HUTCHINSON RIVER PKWAY EA, , NY 10475<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"31","31547","R043","CSI High School for International Studies","100 ESSEX DRIVE","Staten Island","10314","Fully Accessible",-74.159343,40.581958,"non-kosher","FreeMeals","100 ESSEX DRIVE, , NY 10314<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"17","17061","K061","M.S. 061 Dr. Gladstone H. Atwell","400 EMPIRE BOULEVARD","Brooklyn","11225","No Accessibility",-73.949198,40.663605,"non-kosher","FreeMeals","400 EMPIRE BOULEVARD, , NY 11225<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"19","19218","K218","J.H.S. 218 James P. Sinnott","370 FOUNTAIN AVENUE","Brooklyn","11208","No Accessibility",-73.874537,40.67002,"non-kosher","FreeMeals","370 FOUNTAIN AVENUE, , NY 11208<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"8","08131","X131","J.H.S. 131 Albert Einstein","885 BOLTON AVENUE","Bronx","10473","No Accessibility",-73.859998,40.822925,"non-kosher","FreeMeals","885 BOLTON AVENUE, , NY 10473<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"9","09117","X117","I.S. 117 Joseph H. Wade","1865 MORRIS AVENUE","Bronx","10453","No Accessibility",-73.909022,40.848552,"non-kosher","FreeMeals","1865 MORRIS AVENUE, , NY 10453<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"27","27133","Q198","Goldie Maple Academy","3-65 BEACH 56 STREET","Queens","11692","Partially Accessible",-73.786649,40.594008,"non-kosher","FreeMeals","3-65 BEACH 56 STREET, , NY 11692<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"2","02130","M130","P.S. 130 Hernando De Soto","143 BAXTER STREET","Manhattan","10013","Fully Accessible",-73.998326,40.71866,"non-kosher","FreeMeals","143 BAXTER STREET, , NY 10013<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"17","17538","K590","Middle College High School","1186 Carroll Street","Brooklyn","11225","Fully Accessible",-73.951823,40.66679,"non-kosher","FreeMeals","1186 Carroll Street, , NY 11225<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"4","04083","M083","P.S. 083 Luis Munoz Rivera","219 East 109 Street","Manhattan","10029","Fully Accessible",-73.941955,40.793363,"non-kosher","FreeMeals","219 East 109 Street, , NY 10029<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"28","28144","Q144","P.S. 144 Col Jeromus Remsen","93-02 69 AVENUE","Queens","11375","Fully Accessible",-73.852398,40.71489,"non-kosher","FreeMeals","93-02 69 AVENUE, , NY 11375<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"17","17210","K210","M.S. K394","188 ROCHESTER AVENUE","Brooklyn","11213","No Accessibility",-73.928917,40.67271,"non-kosher","FreeMeals","188 ROCHESTER AVENUE, , NY 11213<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"27","27226","Q226","J.H.S. 226 Virgil I. Grissom","121-10 ROCKAWAY BOULEVARD","Queens","11420","Partially Accessible",-73.81673,40.675021,"non-kosher","FreeMeals","121-10 ROCKAWAY BOULEVARD, , NY 11420<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"18","18211","K211","I.S. 211 John Wilson","1001 EAST 100 STREET","Brooklyn","11236","Partially Accessible",-73.895224,40.642931,"non-kosher","FreeMeals","1001 EAST 100 STREET, , NY 11236<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"23","23193","K055","Brooklyn Collegiate: A College Board School","2021 BERGEN STREET","Brooklyn","11233","Partially Accessible",-73.912685,40.674456,"non-kosher","FreeMeals","2021 BERGEN STREET, , NY 11233<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"20","20220","K220","J.H.S. 220 John J. Pershing","4812 9TH AVENUE","Brooklyn","11220","No Accessibility",-74.00125,40.640997,"non-kosher","FreeMeals","4812 9TH AVENUE, , NY 11220<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>No Accessibility"
"25","25129","Q129","P.S. 129 Patricia Larkin","128-02 7 Avenue","Queens","11356","Partially Accessible",-73.839505,40.789926,"non-kosher","FreeMeals","128-02 7 Avenue, , NY 11356<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Partially Accessible"
"30","30583","Q600","Queens Vocational and Technical High School","37-02 47 AVENUE","Queens","11101","Fully Accessible",-73.927995,40.741658,"non-kosher","FreeMeals","37-02 47 AVENUE, , NY 11101<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"19","19561","K660","W. H. Maxwell Career and Technical Education High","145 PENNSYLVANIA AVENUE","Brooklyn","11207","Fully Accessible",-73.895976,40.673766,"non-kosher","FreeMeals","145 PENNSYLVANIA AVENUE, , NY 11207<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"19","19422","K422","Spring Creek Community School","1065 ELTON STREET","Brooklyn","11208","Fully Accessible",-73.874064,40.657266,"non-kosher","FreeMeals","1065 ELTON STREET, , NY 11208<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"31","31051","R051","I.S. 051 Edwin Markham","80 WILLOWBROOK ROAD","Staten Island","10302","Fully Accessible",-74.145522,40.623077,"non-kosher","FreeMeals","80 WILLOWBROOK ROAD, , NY 10302<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"30","30580","Q520","Middle College High School at LaGuardia Community","45-35 VAN DAM STREET","Queens","11101","Fully Accessible",-73.933316,40.743253,"non-kosher","FreeMeals","45-35 VAN DAM STREET, , NY 11101<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
"30","30501","Q404","Academy for Careers in Television and Film","1-50 51ST AVENUE","Queens","11101","Fully Accessible",-73.959183,40.742964,"non-kosher","FreeMeals","1-50 51ST AVENUE, , NY 11101<br/><b>Kosher meal type: </b>non-kosher<br/><b>Accessibility: </b>Fully Accessible"
