Borough,ClosureType,EditDate,GISPropNum,Name,OMPPropID,ParkDistrict,PropertyName,Red Sign Installed,Status,SubPropertyName,System,Yellow Sign Removed,polygon,Approx Date Closed,Approx Date Reopened
B,Completely Locked,06/23/2020 03:14:22 PM,B118A,St. Mary's Playground Skatepark,B118A,B-06,St. Mary's Park,,Reopened,,B118A-SKATEPARK-01,,"POLYGON ((-73.99728246399214 40.676445060567964, -73.99726453717712 40.67648157691596, -73.99713599445931 40.67644499758128, -73.99715391896922 40.676408483054146, -73.99722895021256 40.67625564141874, -73.99735749853032 40.67629222155104, -73.99728246399214 40.676445060567964))",04/09/2020 07:11:11 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:25:54 PM,Q163,Rockaway Beach State Park,Q163,Q-14,Rockaway Beach Boardwalk,true,UnderConstruction,,Q163-SKATEPARK-02,,"POLYGON ((-73.81413782978484 40.58410860142206, -73.81269154823842 40.584461590260894, -73.81253869319939 40.58409616159403, -73.81399522204757 40.583733147705516, -73.81413782978484 40.58410860142206))",04/09/2020 07:11:11 PM,
X,Temporary Fencing,06/22/2020 10:45:06 AM,X104,Williamsbridge Oval Skate Park,X104-01,X-07,Williamsbridge Oval,true,Reopened,Plgd w/ Mini Pool & Courts,X104-01-SKATEPARK-01,,"POLYGON ((-73.87693604675017 40.87738926967119, -73.8765485483472 40.87770105325675, -73.87622768127142 40.87747281944187, -73.87662569024278 40.877153183293146, -73.87693604675017 40.87738926967119))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
M,Completely Locked,06/22/2020 01:10:39 PM,M047,Thomas Jefferson Skate Park,M047-01,M-11,Thomas Jefferson Park,true,Reopened,Thomas Jefferson Park Playground,M047-01-SKATEPARK-01,,"POLYGON ((-73.93366574845591 40.79346626289652, -73.93335175365837 40.79333456368174, -73.93337717819394 40.793303128404865, -73.93372349476282 40.79308889640796, -73.93388707222232 40.793156893485005, -73.93366574845591 40.79346626289652))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 11:24:26 AM,B141,City Line Skatepark,B141,B-05,City Line Park,,Reopened,,B141-SKATEPARK-01,,"POLYGON ((-73.874757471514 40.679215673678776, -73.8747179822364 40.67922063395172, -73.87466646746866 40.6792183805919, -73.87461614290513 40.679209700627375, -73.87456838258369 40.67919483149268, -73.87452448925323 40.679174178042445, -73.87435724026335 40.67904365493965, -73.87435338280854 40.679026806587295, -73.87457148895703 40.67899787145703, -73.87457448443371 40.6790101775634, -73.87459332474813 40.67908757308139, -73.874757471514 40.679215673678776))",04/09/2020 07:11:11 PM,06/20/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:15:39 PM,B012,Brower Park Skatepark,B012,B-08,Brower Park,,Reopened,,B012-SKATEPARK-01,,"POLYGON ((-73.94334521645897 40.67444785599525, -73.9433387682074 40.674609141382795, -73.9433219865445 40.67464739060121, -73.94329386067292 40.67468316591444, -73.94303816396182 40.674666587194274, -73.9429984530135 40.674660497154484, -73.94299297350382 40.674647748548615, -73.9429882404698 40.674634827413485, -73.94298426335148 40.67462175896827, -73.94298105040629 40.674608568431545, -73.94297860752539 40.6745952819213, -73.94297693941766 40.674581924654234, -73.94297604960717 40.674568524548135, -73.94297593925475 40.67455510681807, -73.94297660952022 40.674541697579485, -73.94297805919724 40.67452832384725, -73.94298028353286 40.67451501083344, -73.94298328013794 40.67450178555223, -73.94298704189379 40.674488673214476, -73.94299156286398 40.674475699932096, -73.94299683238162 40.67446289091418, -73.94300284214543 40.67445027137089, -73.94305392475346 40.674405682444245, -73.9430581584224 40.674405026263074, -73.9430643862025 40.6743988599159, -73.94307118140298 40.67439305045316, -73.94307850614916 40.67438762847353, -73.94308632493525 40.67438262097473, -73.94309459515948 40.67437805405062, -73.94310327658734 40.67437395199511, -73.94311232189078 40.674370335496505, -73.94312168492601 40.674367223442715, -73.94313131836907 40.67436463201964, -73.94314117134978 40.674362574709676, -73.94315119418391 40.674361061393974, -73.943161332457 40.674360101050745, -73.94317153530673 40.674359698157375, -73.94318175068958 40.67435985538966, -73.94319192420103 40.67436057001934, -73.9432020038005 40.67436184112006, -73.9432119374545 40.67436365966106, -73.94322020917083 40.6743656628872, -73.94328707163946 40.67440631089915, -73.94334521645897 40.67444785599525))",04/09/2020 07:11:11 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q007,Bayswater Skatepark,Q007,Q-14,Bayswater Park,true,Reopened,,Q007-SKATEPARK-01,,"POLYGON ((-73.76801413389774 40.60024347023837, -73.76757260859317 40.600054013502785, -73.76756396388615 40.60004859466734, -73.76755658087968 40.600042183302584, -73.76755065393151 40.60003494639905, -73.76754633832697 40.60002707518241, -73.76754374794737 40.60001877610352, -73.76754294937875 40.600010266323906, -73.76754396546538 40.60000177102108, -73.76754676826215 40.59999351166774, -73.76762582527684 40.5998864720981, -73.76763305960216 40.5998802676969, -73.76764147919069 40.599875003138635, -73.76765087448302 40.59987080587409, -73.76766101591674 40.599867779899746, -73.76767165276125 40.599866001253304, -73.76768252377501 40.59986551083059, -73.767693360719 40.59986632339839, -73.76770389902373 40.59986841770971, -73.76816436106965 40.600066000668114, -73.76817334419883 40.60007332385165, -73.76818075029445 40.60008161011717, -73.76818640400602 40.60009066189618, -73.76819017374629 40.600100267299965, -73.76819196814985 40.600110199212104, -73.76819174785972 40.60012022341668, -73.76818951605698 40.60013010398245, -73.7681853255371 40.60013960687917, -73.7681201419949 40.60022786374774, -73.76810750985581 40.60023570074674, -73.76809336655944 40.600241858817164, -73.76807809428857 40.60024617303304, -73.76806210223101 40.60024852715149, -73.76804582065607 40.60024885810332, -73.76802968673115 40.600247157765544, -73.76801413389774 40.60024347023837))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 09:57:06 AM,X179,Playground 52 Skatepark,X179,X-02,Playground 52 LII,,Reopened,,X179-SKATEPARK-01,,"POLYGON ((-73.90228015716708 40.81494224824047, -73.90233550414646 40.81505530307617, -73.9019757396196 40.8151537751487, -73.9019171076063 40.81503107932193, -73.90221334209714 40.81494999710541, -73.9022179717151 40.81495968588302, -73.90228015716708 40.81494224824047))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
R,Completely Locked,06/22/2020 05:13:15 PM,R008,Faber Park Skate Park,R008,R-01,Faber Pool and Park,true,Reopened,,R008-SKATEPARK-01,,"POLYGON ((-74.13590342096855 40.640529910209594, -74.1359022790388 40.64053457354895, -74.13589668528404 40.640552687806824, -74.13589177150733 40.64056627434906, -74.13589085907395 40.6405791420507, -74.13589926507477 40.64059056871513, -74.13590952407573 40.640591815516956, -74.13591934367061 40.64059439920824, -74.13592842579548 40.64059824179623, -74.13593649476665 40.640603225638934, -74.13594330675247 40.64060920063805, -74.13594865450395 40.640615985133856, -74.13595237682831 40.64062337399866, -74.13595435859676 40.64063114223887, -74.13595454140378 40.64063905488803, -74.13595292003026 40.640646871513525, -74.13594954246167 40.64065435522198, -74.1359445122656 40.64066127895986, -74.13595477001886 40.64065900652879, -74.1359653528836 40.640657902586746, -74.13597603511319 40.64065798991358, -74.1359865850005 40.640659266982226, -74.13599677669784 40.6406617070443, -74.13600638903112 40.640665256330216, -74.13601879602919 40.640653738418784, -74.1360335839599 40.6406439872104, -74.13605032544953 40.64063628237079, -74.13606853744999 40.64063084779959, -74.13608769303582 40.64062783990952, -74.13610724149589 40.64062734490132, -74.13612661778797 40.640629377852015, -74.13614526263005 40.64063387998946, -74.13615930391114 40.64061742257925, -74.13616594414552 40.64060931814532, -74.13617421054718 40.64060213211635, -74.1361838859841 40.64059605385817, -74.13619471897384 40.640591239458224, -74.13620642842139 40.64058781622236, -74.13621870832759 40.640585872763666, -74.13623123842856 40.64058545899001, -74.13624369247233 40.64058658699453, -74.13624199000047 40.64058187929432, -74.1362413298939 40.64057702267389, -74.13624173133908 40.64057215038746, -74.1362431816005 40.640567393925956, -74.13624564193694 40.640562885711596, -74.136249044031 40.64055874739545, -74.13625329590937 40.640555094352855, -74.13625828192066 40.64055202487742, -74.13626386274271 40.64054962378292, -74.13626988719331 40.640547956986445, -74.13626695952624 40.64049902262065, -74.13627363887865 40.640498507712934, -74.13628438910952 40.64049833107828, -74.13629514657178 40.6404988010071, -74.13630391586318 40.640499382254426, -74.13631257884191 40.64050058228402, -74.13632106101376 40.64050239217907, -74.13632928905375 40.640504796717686, -74.13630716813792 40.640531282006506, -74.13630362433685 40.640542437340855, -74.13630157867992 40.64055144586168, -74.13630291337861 40.64056188040084, -74.1363087778259 40.640584317999, -74.13631048756237 40.64059489437559, -74.13630918118909 40.64059832690363, -74.1363071267714 40.64060304716079, -74.136304131673 40.64060676805571, -74.13630113569678 40.6406100594037, -74.13629701253656 40.640613066623004, -74.13630736233482 40.64062634872559, -74.13631247435046 40.640648501750604, -74.13631604384157 40.64065049847374, -74.13633688145292 40.640653761567414, -74.13634457527621 40.640653323798105, -74.1363584560913 40.640651501797535, -74.1363511353752 40.64066907150986, -74.13634474780736 40.64068684813533, -74.13633186961462 40.64068064441582, -74.13631778630607 40.64067651511953, -74.13630768217426 40.64067585981188, -74.13630314757621 40.640676532471836, -74.13629820481675 40.64068399643332, -74.13629184804435 40.640690812795896, -74.13628422352903 40.64069682559605, -74.13627550241215 40.640701901353935, -74.1362658806959 40.640705923669934, -74.13625557689707 40.64070880223301, -74.13620080102814 40.64072030372162, -74.13619706224534 40.640727455573426, -74.1362023916591 40.64073160966151, -74.1362067222381 40.640736389893, -74.13620992957549 40.64074165953642, -74.13621191878727 40.640747266516385, -74.13621263516454 40.64075304970486, -74.13621205708606 40.64075884163076, -74.13621020075989 40.64076447477826, -74.13620712023632 40.64076978789026, -74.1362029050472 40.640774627772345, -74.13619767548829 40.64077885470135, -74.13619158144633 40.640782346929505, -74.13618480122263 40.640785003387336, -74.13617752853625 40.64078674730109, -74.1361699725315 40.64078752979503, -74.13615685089557 40.640794693656275, -74.13615626413133 40.64079970754325, -74.13615460012 40.64080457862261, -74.13615190351362 40.64080917446501, -74.13614825089556 40.640813368907004, -74.13614373896986 40.64081704746799, -74.13613849402265 40.64082010914023, -74.13613265774288 40.640822470007556, -74.13612638959093 40.640824065043674, -74.13611986325901 40.6408248517185, -74.13611325484598 40.64082480821116, -74.1361067475897 40.64082393520518, -74.13610051768272 40.64082225680616, -74.13609473545084 40.64081981873899, -74.1360895606243 40.64081668835372, -74.13608513523762 40.640812951031684, -74.13608157771486 40.640808708391496, -74.13607898759655 40.64080407738304, -74.1360470585352 40.640791964451935, -74.1360395707274 40.64080126487089, -74.13602720962835 40.640795876376366, -74.13601601146823 40.64078917264695, -74.13600621533669 40.64078129658288, -74.13599803318637 40.64077241723149, -74.13599163681621 40.64076272349906, -74.13598016933378 40.64076482086207, -74.13596840086237 40.640765405707015, -74.13595667183317 40.640764461421966, -74.13594532394953 40.64076201551909, -74.13593468481503 40.64075813785167, -74.1359250643903 40.64075294241965, -74.13591673960855 40.64074657928262, -74.13590995200556 40.64073923186147, -74.13584707603587 40.64073573199441, -74.13586312712864 40.64078431857328, -74.13586362470394 40.640787744462244, -74.13586343192944 40.64079118827668, -74.13586255218657 40.640794568965894, -74.13586100659472 40.640797808159626, -74.13585883164868 40.64080083107175, -74.13585607685268 40.64080356560205, -74.13585280709573 40.640805947737036, -74.13584909910853 40.64080792335477, -74.13580970379701 40.6408151182119, -74.13580510546673 40.64081526862613, -74.13580053201518 40.64081486429079, -74.13579610050058 40.64081391677438, -74.13579191973014 40.64081244936188, -74.13578809499168 40.64081049885042, -74.13578472095749 40.640808113756194, -74.13578188286455 40.64080535341293, -74.13577965060159 40.64080228707814, -74.13576264056722 40.6407436950469, -74.13575615097534 40.64074045813642, -74.1357503480133 40.6407365369208, -74.13574535361454 40.6407320150043, -74.13574127555377 40.640726989516104, -74.13573819915926 40.64072156481572, -74.13571842490427 40.6407238178418, -74.135715157312 40.64069297169994, -74.13573626081494 40.64069154648396, -74.13574842175376 40.64067294720658, -74.1357409035597 40.64066906763804, -74.13573432692297 40.64066429724438, -74.13572887298017 40.64065876638717, -74.13572468980938 40.6406526261792, -74.13572189124223 40.640646045783875, -74.13572055566387 40.64063920341169, -74.13572071773754 40.64063228632975, -74.13572237430452 40.640625485452084, -74.13572547845165 40.64061898453983, -74.1357299466094 40.64061296289495, -74.13573565734643 40.64060758365469, -74.13574245255333 40.640602994690674, -74.13575014806922 40.6405993222929, -74.13575014592 40.64059652258017, -74.13575077631357 40.64059376444512, -74.13575202050372 40.640591130757684, -74.13575384200107 40.64058869900562, -74.13575618657616 40.64058654309556, -74.13575898342957 40.6405847270478, -74.13576214873757 40.640583304992596, -74.1357655891956 40.64058231936442, -74.13576920083392 40.6405818000032, -74.13577287492491 40.640581762346045, -74.13577650389372 40.640582207420486, -74.13577997658975 40.64058312185008, -74.1357831924725 40.640584477837386, -74.13578605215979 40.64058623587689, -74.13578847161007 40.64058834293725, -74.13579037858311 40.64059073606742, -74.13579171618855 40.640593343293034, -74.13579244525741 40.640596087215684, -74.13579254197954 40.64059888591625, -74.13579200382014 40.640601655649355, -74.13579686285807 40.640602984481355, -74.13580141795772 40.6406048341724, -74.13580557564761 40.64060716521002, -74.13580924834885 40.640609929069676, -74.13581235792144 40.640613068210385, -74.13584119219392 40.64061136639019, -74.13586742790918 40.64059275047276, -74.135864570975 40.64057202478872, -74.13586547904764 40.64055701295538, -74.13587108230271 40.64054414061212, -74.13587762391751 40.64053055214729, -74.13587817488188 40.64051491487467, -74.13589570793972 40.640516268348925, -74.13590286421264 40.64051658137711, -74.13590342096855 40.640529910209594))",04/02/2020 12:00:00 AM,06/22/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:33:25 PM,B096,Sgt. William Dougherty Playground Skatepark,B096,B-01,Sgt. William Dougherty Playground,,Reopened,,B096-SKATEPARK-01,,"POLYGON ((-73.93676449101093 40.72356264063731, -73.93682749563528 40.723630375528565, -73.93686457349636 40.72371611716705, -73.93688073646248 40.72375070109101, -73.93688081166424 40.72375878140398, -73.93687917304794 40.723766765323404, -73.93687586223817 40.72377444395382, -73.93687096701568 40.72378161472855, -73.93686461538958 40.72378809131218, -73.9368569732304 40.72379370359912, -73.93684824189661 40.72379830401599, -73.93683864876068 40.723801772919586, -73.93682844602436 40.72380401949648, -73.93681798920339 40.723808342507944, -73.93682368301076 40.72382154980289, -73.93672341497553 40.72385719634164, -73.93671750465555 40.72384764769283, -73.93664519495925 40.723857518034244, -73.93663127540687 40.72379894663999, -73.93665066195943 40.72379177124234, -73.9365801850763 40.72364192098161, -73.93656540532469 40.723610494963296, -73.93659616796494 40.72360310071426, -73.93676449101093 40.72356264063731))",04/09/2020 07:11:11 PM,06/23/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q108,Laurelton Playground Skatepark,Q108,Q-13,Laurelton Playground,true,Reopened,,Q108-SKATEPARK-01,,"POLYGON ((-73.73668390680447 40.67012502788942, -73.73650992509945 40.67038353970218, -73.73650521239664 40.670390637609124, -73.73649906181353 40.67039706583817, -73.73649163249164 40.67040265725694, -73.73648312015062 40.67040726642938, -73.736473745247 40.67041077319061, -73.73646375059485 40.67041308624362, -73.73645339780678 40.67041414585281, -73.73644295664974 40.67041392381938, -73.73643269793818 40.670412426166955, -73.73631883151052 40.67037380491631, -73.73645002972297 40.67013692582413, -73.736663941575 40.67010231341406, -73.73668390680447 40.67012502788942))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 01:56:57 PM,B268,Nautilus Playground Skate Park,B268,B-13,Nautilus Playground,,Reopened,,B268-SKATEPARK-01,,"POLYGON ((-73.99611855267074 40.57162781096787, -73.99613730316965 40.57157539295955, -73.99646960918275 40.57158324992426, -73.99648350029906 40.57170120827503, -73.99611354930354 40.571704055520314, -73.99611855267074 40.57162781096787))",04/09/2020 07:11:11 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:33:40 PM,B025,Cooper Skate Park,B025,B-01,Cooper Park,,Reopened,,B025-SKATEPARK-01,,"POLYGON ((-73.93645783466312 40.715417799944035, -73.93644411543515 40.71538450139787, -73.93660222417793 40.71534678784564, -73.93672401929983 40.71564240329858, -73.93641707872342 40.715715618585314, -73.93630900280657 40.71545330137357, -73.93636494972012 40.71543995612885, -73.93636557744236 40.715435742987154, -73.93636710448834 40.7154316654191, -73.93636949169772 40.715427833265345, -73.93637267269445 40.715424351848874, -73.93637656099423 40.71542131477482, -73.93638105237079 40.71541880483255, -73.93638602367682 40.715416889492296, -73.93639134112814 40.71541562090956, -73.93639686030556 40.71541503412452, -73.93640243089135 40.71541514436276, -73.93640790258507 40.715415948839684, -73.9364131262878 40.715417425860714, -73.93641796001938 40.71541953482456, -73.93642227365017 40.715422218927124, -73.93642595008336 40.71542540606307, -73.93645783466312 40.715417799944035))",04/09/2020 07:11:11 PM,06/23/2020 12:00:00 AM
B,Completely Locked,06/22/2020 04:44:33 PM,B243,Golconda Playground Skatepark,B243,B-02,Golconda Playground,,Reopened,,B243-SKATEPARK-01,,"POLYGON ((-73.98217389180603 40.69783790761945, -73.98215628660208 40.69782723021787, -73.98214126483954 40.69781446942891, -73.9821292464506 40.69779998282216, -73.98212056498194 40.69778417478043, -73.98211546523088 40.6977674865935, -73.98211408786767 40.697750385649705, -73.98211647298942 40.69773334922691, -73.98212255420792 40.6977168527851, -73.98213215983647 40.697701357359435, -73.98214502235906 40.69768729695437, -73.98216078198436 40.69767506323608, -73.98217899966248 40.69766499833, -73.98216232545266 40.69764625968647, -73.98216304749756 40.69760972871278, -73.98247237830945 40.69762577834166, -73.98247178043871 40.69763167660666, -73.98246995328799 40.697637427000416, -73.98246694303997 40.69764288094535, -73.98246282782033 40.69764789977434, -73.98245771296567 40.69765235382959, -73.98245172865506 40.69765612966618, -73.9824450299101 40.697659130052415, -73.98273425242878 40.697919335425865, -73.9827285475912 40.697999785441695, -73.98277930059707 40.69801181218482, -73.98281886030854 40.69804380789708, -73.98281921282346 40.698044092511616, -73.98291151780386 40.69804788390277, -73.98289855054011 40.69823077872989, -73.98267266628977 40.69822150118606, -73.98268221644975 40.698086820200416, -73.98256072380546 40.69808183012715, -73.98256804393588 40.69797859830353, -73.98254277494011 40.697964279929465, -73.98233495742903 40.69795574378187, -73.9823350061699 40.69795487389446, -73.98233662071434 40.697925488623525, -73.98233769310878 40.69790598819329, -73.98230675312784 40.697865233456305, -73.98227044033537 40.69787355940851, -73.98223283554093 40.69787729974091, -73.98219493028243 40.69787635644983, -73.98215772671394 40.69787075400416, -73.98212220684206 40.697860639340576, -73.9821128086084 40.69780421898032, -73.98212181948635 40.69781380633445, -73.98213273679578 40.69782216658544, -73.98214527781545 40.697829082665514, -73.98215911603536 40.69783437622203, -73.98217389180603 40.69783790761945))",04/09/2020 07:11:00 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:34:02 PM,B127,Martinez Playground Skatepark,B127,B-01,Martinez Playground,,Reopened,,B127-SKATEPARK-01,,"POLYGON ((-73.9450430141989 40.7092484161744, -73.94474162408989 40.709276346228016, -73.94471884934549 40.7091386138133, -73.9450241647332 40.70910992656288, -73.9450430141989 40.7092484161744))",04/09/2020 07:11:11 PM,06/23/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q373,East Elmhurst Playground,Q373,Q-03,East Elmhurst Playground,,Reopened,,Q373-SKATEPARK-01,,"POLYGON ((-73.87078469784655 40.76495775062189, -73.87050437396124 40.764991044528365, -73.8704765159078 40.76485545209163, -73.87070158038735 40.764828721264855, -73.87076587825936 40.76486614995657, -73.87078469784655 40.76495775062189))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
M,Blocked with Barricade,06/29/2020 11:01:17 AM,M037,Highbridge Park,M037-ZN07,M-12A,Highbridge Park,true,Reopened,Highbridge Park Zone 7,M037-ZN07-SKATEPARK-01,true,"POLYGON ((-73.93009301994158 40.846583585517656, -73.92996730511928 40.84643343858405, -73.92992321917826 40.84626295307578, -73.92991443319785 40.846250809098414, -73.92990833999339 40.846237749154646, -73.9299050992903 40.84622411372818, -73.9299047960899 40.84621025946596, -73.92990743830876 40.84619654927131, -73.92991295678912 40.84618334239854, -73.92992120649647 40.84617098364777, -73.92993197126954 40.84615979706448, -73.9299449721337 40.84615007423812, -73.92995986611962 40.84614206979908, -73.92997626405844 40.84613599422568, -73.92999373770493 40.84613200574409, -73.9300125751313 40.8461301828714, -73.93003154993208 40.8461307851055, -73.93005012139452 40.846133795909424, -73.93006776547895 40.84613913031956, -73.93008398074684 40.84614663584899, -73.93009830732399 40.846156101504455, -73.93011034113044 40.846167257794555, -73.93011973979692 40.84617978843963, -73.93014308274246 40.846172887695936, -73.93032368499071 40.8466631629211, -73.93009301994158 40.846583585517656))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/23/2020 03:14:13 PM,B111A,Washington Park Skatepark,B111A,B-06,Washington Park,,Reopened,,B111A-SKATEPARK-01,,"POLYGON ((-73.98540356502595 40.67248343003907, -73.98554648693306 40.67231519312469, -73.98614518410238 40.67261003871641, -73.98600226307371 40.67277827636857, -73.98540356502595 40.67248343003907))",04/09/2020 07:11:11 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 05:18:56 PM,Q162J,Far Rockaway Skatepark,Q162J,Q-14,Beach 17 Playground,true,Reopened,,Q162J-SKATEPARK-01,,"POLYGON ((-73.74658656043039 40.595042862703586, -73.746597949622 40.595025513961545, -73.74661303111607 40.595009887061806, -73.74663136845841 40.59499643310498, -73.74665242973265 40.5949855435463, -73.74667560771806 40.59497753042889, -73.74670023169925 40.594972627310575, -73.74672558996322 40.59497097580538, -73.74675094871023 40.5949726229241, -73.74677557331464 40.59497752202164, -73.74679875432065 40.59498553105317, -73.74681981923821 40.5949964171025, -73.74683815967303 40.59500986724841, -73.7468532454887 40.59502549219735, -73.74686464011663 40.59504283892475, -73.74687201467064 40.59506140691494, -73.74687515499497 40.59508065898326, -73.74687396986866 40.59510003840377, -73.74686849449274 40.59511898422594, -73.74685888806282 40.595136948379135, -73.7468454266165 40.595153412767296, -73.74682849944918 40.59516790006718, -73.74680859840993 40.59517999261609, -73.74678629543214 40.59518933866644, -73.74676223892466 40.59519566948775, -73.74670148831588 40.595201928433106, -73.74664154534663 40.595211718290194, -73.74664833483521 40.595229728479275, -73.74652067971937 40.595262804269886, -73.7465147889848 40.59524518328212, -73.74644913179503 40.5952701883365, -73.74638676062312 40.59529967802317, -73.74636411602953 40.59531278293569, -73.74633888073743 40.5953227654031, -73.74631178711431 40.595329336170344, -73.74628362386468 40.595332303364394, -73.74625520882395 40.59533158143919, -73.74622736651227 40.595327191126344, -73.74620090804703 40.59531926029154, -73.7461766004478 40.59530801846298, -73.74615515129159 40.59529379319565, -73.74613718277098 40.595276997406245, -73.74612321755507 40.595258119435904, -73.74611366230889 40.59523770770469, -73.74610879357597 40.59521635537102, -73.74610875311801 40.5951946832115, -73.74611354208452 40.59517331979617, -73.74612302106449 40.59515288798074, -73.74613691490863 40.595133979702645, -73.7461548198589 40.59511714519065, -73.74617621661905 40.595102873182206, -73.74620048103499 40.595091578340174, -73.7462269101291 40.59508358960351, -73.74625473513888 40.59507913850951, -73.74628314870503 40.59507835475157, -73.74631132261177 40.595081260815064, -73.74635157679784 40.59509047560945, -73.7463932295478 40.59509476129273, -73.74643524756554 40.59509401112233, -73.74647659117583 40.59508824261569, -73.74651623557618 40.59507760119936, -73.74655319687551 40.59506234765889, -73.74658656043039 40.595042862703586))",04/09/2020 07:11:11 PM,06/21/2020 12:00:00 AM
R,Completely Locked,06/22/2020 05:30:46 PM,R046,Ben Soto Skatepark,R046-07,R-02B,Franklin D. Roosevelt Boardwalk and Beach,true,Reopened,Midland Beach Playground,R046-07-SKATEPARK-01,true,"POLYGON ((-74.08426458777006 40.574759503854516, -74.08362897332758 40.57444467296333, -74.0838851579053 40.57429420659449, -74.08425246352333 40.57447104132158, -74.0844572293173 40.574648809458864, -74.08426458777006 40.574759503854516))",04/09/2020 12:00:00 AM,06/22/2020 12:00:00 AM
M,Completely Locked,06/19/2020 10:14:25 AM,M019,Coleman Skatepark,M019,M-03,Coleman Playground,true,Reopened,,M019-SKATEPARK-01,,"POLYGON ((-73.99327365430604 40.7115944908488, -73.99325481760475 40.711596107063876, -73.99324537854343 40.711596918771086, -73.99324018090589 40.711597365119346, -73.99323816906981 40.71159753789925, -73.99322443888008 40.711598717661516, -73.99321696076667 40.711599360185794, -73.99318126960777 40.71160242611726, -73.99314536661095 40.71160551093581, -73.99313788967943 40.71160615345504, -73.99311991096043 40.71160769855886, -73.99311792160897 40.711607869537, -73.99305523395572 40.71161325622945, -73.99299436878034 40.71161848630989, -73.99298194509284 40.71161955355887, -73.99296667879693 40.71162086557178, -73.99295921961355 40.711621506279464, -73.99291430001281 40.71162536581389, -73.99288641239018 40.711627762153995, -73.9928789768738 40.71162840195742, -73.99287090230308 40.71162909485091, -73.99286888928178 40.71162926672377, -73.99285844429211 40.71163016478598, -73.99284538627951 40.71163128691203, -73.99283446081498 40.71163222546519, -73.99283431170234 40.711632238063046, -73.99263594584326 40.71164700202504, -73.9925967233123 40.71164992166656, -73.99253236969409 40.71129279115741, -73.99252711348771 40.71124581297049, -73.99300001227566 40.711102488585524, -73.99300436996678 40.71111032329427, -73.99300979253086 40.71112007255346, -73.99307030457243 40.71122886781994, -73.99307983166065 40.71124599790893, -73.9930872384666 40.71125931330623, -73.99311055809225 40.711301239784035, -73.99314198621178 40.7113577460094, -73.99318752288538 40.71143961684741, -73.99321368351019 40.71148664936728, -73.99327365430604 40.7115944908488))",04/09/2020 07:11:11 PM,06/19/2020 12:00:00 AM
