Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Approx Date Closed,Approx Date Reopened
M,,04/14/2020 03:44:24 PM,Exercise Equipment,M045,John Jay Park,M045,John Jay Park,Active,POINT (-73.94948322669356 40.769238835653574),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B025,Cooper Park,B025,Cooper Park,Active,POINT (-73.93724000264929 40.71585257942295),,
Q,Temporary Fencing,06/21/2020 11:39:52 AM,Exercise Equipment,Q134,Breininger Park,Q134,Breininger Park,Reopened,POINT (-73.72897475587081 40.725827895761014),04/11/2020 07:06:52 PM,06/21/2020 11:39:50 AM
B,Completely Locked,06/22/2020 02:12:49 PM,Exercise Equipment,B298,Stockton Playground,B298,Stockton Playground,Reopened,POINT (-73.94867376733984 40.697283737702975),04/10/2020 12:27:53 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/23/2020 11:10:39 AM,Exercise Equipment,Q001-ZN01,Alley Pond Park,Q001,Alley Pond Park Zone 1,Reopened,POINT (-73.73626821207041 40.73949215306537),04/11/2020 07:14:22 PM,06/23/2020 11:10:37 AM
X,Temporary Fencing,06/22/2020 10:33:37 AM,Exercise Equipment,X137,Jerome Park,X137,Jerome Park,Reopened,POINT (-73.8919726294351 40.87865445534718),04/13/2020 12:01:05 PM,06/21/2020 12:00:00 AM
Q,Partially Locked,06/23/2020 09:25:50 AM,Exercise Equipment,Q026,Park Of The Americas,Q026,Park Of The Americas,Reopened,POINT (-73.86192271977383 40.74856510690505),04/13/2020 09:15:26 AM,06/23/2020 09:25:48 AM
B,Completely Locked,06/22/2020 11:24:26 AM,Exercise Equipment,B141,City Line Park,B141,City Line Park,Reopened,POINT (-73.87492274042454 40.67948179994448),05/21/2020 01:03:15 PM,06/20/2020 12:00:00 AM
M,Completely Locked,06/22/2020 05:21:11 PM,Exercise Equipment,M079,St. Catherine's Park,M079,St. Catherine's Park,Reopened,POINT (-73.9587213697007 40.76519440893391),04/10/2020 11:53:33 AM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 10:05:38 AM,Exercise Equipment,X206,Morgan Playground,X206,Morgan Playground,Reopened,POINT (-73.90743530814089 40.83227429519592),04/10/2020 08:42:35 AM,06/21/2020 12:00:00 AM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X118-ZN03,Soundview Park,X118,Soundview Park Zone 3,Active,POINT (-73.87305103232546 40.818286496286895),,
M,,04/13/2020 01:10:34 PM,Exercise Equipment,M047,Thomas Jefferson Park,M047,Thomas Jefferson Park,Active,POINT (-73.93559005057931 40.793202427096176),,
B,Completely Locked,06/22/2020 03:39:17 PM,Exercise Equipment,B007-01,Bensonhurst Park,B007,Bensonhurst Park Playground,Reopened,POINT (-73.99981329076745 40.59692354879053),04/10/2020 04:00:20 PM,06/20/2020 12:00:00 AM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X092-ZN06,Van Cortlandt Park,X092,Parade Ground North,Active,POINT (-73.89518810082029 40.896698609614894),,
Q,Completely Locked,06/21/2020 07:27:22 PM,Exercise Equipment,Q335,Russell Sage Playground,Q335,Russell Sage Playground,Reopened,POINT (-73.85147543218127 40.723774979073774),04/11/2020 06:19:53 PM,06/21/2020 10:00:00 AM
B,Completely Locked,06/22/2020 03:21:34 PM,Exercise Equipment,B286,Bartlett Playground,B286,Bartlett Playground,Reopened,POINT (-73.94609574490927 40.70090041528183),04/10/2020 11:37:33 AM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B252,West Playground,B252,West Playground,Active,POINT (-73.9700708438389 40.58708392303859),,
B,Completely Locked,04/10/2020 12:36:38 PM,Exercise Equipment,B126-01,Red Hook Recreation Area,B126,Bush Clinton Park,Active,POINT (-74.00341580316581 40.6737079062648),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B061,McLaughlin Park,B061,McLaughlin Park,Active,POINT (-73.98604714243562 40.696514825066025),,
Q,Completely Locked,06/21/2020 07:53:34 PM,Exercise Equipment,Q471-01,Hunter's Point South Park,Q471,Hunter's Point South Playground (North),Reopened,POINT (-73.96039842397131 40.74296030861428),04/11/2020 05:47:53 PM,06/21/2020 01:00:00 PM
X,Temporary Fencing,06/22/2020 10:09:37 AM,Exercise Equipment,X010-06,Crotona Park,X010,Boxcar Plgd (6),Reopened,POINT (-73.89272961753181 40.83694779937766),04/15/2020 10:11:38 AM,06/21/2020 12:00:00 AM
R,Completely Locked,06/22/2020 04:54:45 PM,Exercise Equipment,R035,De Matti Park,R035,De Matti Park,Reopened,POINT (-74.07418481018179 40.61453272435435),04/09/2020 03:20:54 PM,06/22/2020 04:54:43 PM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN05B,Bronx Park,X002,Bronx River Parkway East (North Half),Active,POINT (-73.86371190616926 40.89092907333461),,
Q,Completely Locked,06/23/2020 09:24:32 AM,Exercise Equipment,Q366,Louis C. Moser Playground,Q366,Louis C. Moser Playground,Reopened,POINT (-73.89223437689381 40.76310686180756),04/11/2020 05:56:10 PM,06/23/2020 09:24:31 AM
X,Temporary Fencing,06/22/2020 09:35:21 AM,Exercise Equipment,X045-ZN01,St. Mary's Park,X045,St Mary's Park Zone 1,Reopened,POINT (-73.91119885443668 40.810274763845875),04/10/2020 10:04:47 AM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B066-01,Owl's Head Park,B066,Owls Head Park,Active,POINT (-74.03013614141982 40.640347469698526),,
M,,04/14/2020 03:44:11 PM,Exercise Equipment,M164,Asser Levy Playground,M164,Asser Levy Playground,Active,POINT (-73.97561547247632 40.73644242592239),,
M,Completely Locked,06/29/2020 11:02:12 AM,Exercise Equipment,M037-04,Highbridge Park,M037,Wallenberg Plgd,Reopened,POINT (-73.9268989214219 40.85291295605653),04/10/2020 12:53:36 PM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B032-ZN01,Fort Greene Park,B032,Fort Greene Park Zone 1,Active,POINT (-73.97571514180618 40.69260838010292),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B223DA,Adam Yauch Park,B223DA,Adam Yauch Park,Active,POINT (-73.99914590630208 40.69209837983133),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B057-ZN02,Marine Park,B057,Marine Park Zone 2,Active,POINT (-73.93246441046279 40.60576617755164),,
X,Temporary Fencing,06/22/2020 09:41:11 AM,Exercise Equipment,X030-ZN01,Macombs Dam Park,X030,Macombs Dam Park Zone 1 Upper,Reopened,POINT (-73.9293295606938 40.82796512810488),04/09/2020 03:49:04 PM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/21/2020 07:49:34 PM,Exercise Equipment,Q421,Walter Ward Playground,Q421,Walter Ward Playground,Reopened,POINT (-73.84369011434538 40.65742268152679),04/11/2020 06:49:16 PM,06/21/2020 02:30:00 PM
Q,,06/19/2020 01:24:06 PM,Exercise Equipment,Q015-ZN04,Forest Park,Q015,Victory Field,Reopened,POINT (-73.85339787369941 40.70146025735233),,06/19/2020 01:15:00 PM
B,Completely Locked,06/23/2020 02:57:29 PM,Exercise Equipment,B254,Wingate Park,B254,Wingate Park,Reopened,POINT (-73.94419925957446 40.65856952010346),04/10/2020 12:57:42 PM,06/22/2020 12:00:00 AM
Q,Completely Locked,06/23/2020 11:45:24 AM,Exercise Equipment,Q333,Ravenswood Playground,Q333,Ravenswood Playground,Reopened,POINT (-73.93534261177533 40.76260794158629),04/11/2020 01:21:47 PM,06/23/2020 11:45:22 AM
Q,Completely Locked,06/21/2020 07:12:37 PM,Exercise Equipment,Q102-03,Juniper Valley Park,Q102,Juniper South Playground,Reopened,POINT (-73.88290170159917 40.71840947599781),04/11/2020 06:19:33 PM,06/21/2020 07:12:34 PM
X,Blocked with Barricade,06/22/2020 10:52:11 AM,Exercise Equipment,X002-05A,Bronx Park,X002,Waring Plgd,Reopened,POINT (-73.87145330242687 40.8604898319416),04/10/2020 02:20:42 PM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 10:02:57 AM,Exercise Equipment,X211,Stebbins Playground,X211,Stebbins Playground,Reopened,POINT (-73.89851728719871 40.822767330766645),04/10/2020 10:12:26 AM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 03:12:01 PM,Exercise Equipment,B167,La Guardia Playground,B167,La Guardia Playground,Reopened,POINT (-73.95974822474739 40.71045464988789),04/10/2020 11:36:57 AM,06/21/2020 12:00:00 AM
B,Partially Locked,06/22/2020 02:14:12 PM,Exercise Equipment,B088-02,Herbert Von King Park,B088,Herbert Von King Park,Reopened,POINT (-73.94588134503036 40.68952450560375),04/10/2020 12:00:22 PM,06/22/2020 12:00:00 AM
X,Partially Locked,06/22/2020 11:01:08 AM,Exercise Equipment,X262,Harding Park,X262,Harding Park,Reopened,POINT (-73.85660599548011 40.80930852852364),04/10/2020 03:10:20 PM,06/21/2020 12:00:00 AM
M,Completely Locked,07/07/2020 02:55:15 PM,Exercise Equipment,M200,Booker T. Washington Playground,M200,Booker T. Washington Playground,Reopened,POINT (-73.96376749365731 40.80094406070666),04/09/2020 03:22:59 PM,07/06/2020 12:00:00 AM
Q,Blocked with Barricade,06/21/2020 07:49:34 PM,Exercise Equipment,Q092,Police Officer Edward Byrne Park,Q092,Police Officer Edward Byrne Park,Reopened,POINT (-73.80744201010107 40.667339200754526),04/11/2020 06:51:13 PM,06/21/2020 02:30:00 PM
B,Completely Locked,06/22/2020 12:39:05 PM,Exercise Equipment,B270,Brownsville Playground,B270,Brownsville Playground,Reopened,POINT (-73.90222157209897 40.6565247021916),04/10/2020 05:02:51 PM,06/20/2020 12:00:00 AM
Q,Temporary Fencing,06/22/2020 05:17:24 PM,Exercise Equipment,Q220G,Hoover - Manton Playgrounds,Q220G,Hoover - Manton Playgrounds,Reopened,POINT (-73.82123043186971 40.711472465230855),04/11/2020 07:24:41 PM,
X,Completely Locked,06/22/2020 10:24:49 AM,Exercise Equipment,X174,Webster Playground,X174,Webster Playground,Reopened,POINT (-73.89289227408571 40.85938386044433),04/10/2020 10:30:16 AM,06/21/2020 12:00:00 AM
B,Partially Locked,06/22/2020 02:33:56 PM,Exercise Equipment,B381,Thomas Boyland Park,B381,Thomas Boyland Park,Reopened,POINT (-73.90754695317372 40.68174274121655),04/10/2020 12:28:55 PM,06/22/2020 12:00:00 AM
Q,,04/11/2020 07:26:20 PM,Exercise Equipment,Q024-ZN04,Kissena Park,Q024,Kissena Park Zone 4,Active,POINT (-73.80964169426333 40.74366696799823),,
B,Completely Locked,06/29/2020 09:55:28 AM,Exercise Equipment,B380,Robert E. Venable Park,B380,Robert E. Venable Park,Reopened,POINT (-73.86522898889854 40.67442236557769),04/10/2020 05:00:21 PM,06/29/2020 12:00:00 AM
M,,04/10/2020 12:10:07 PM,Exercise Equipment,M071-ZN20,Riverside Park,M071,Hudson Beach Volleyball Courts & Café,Active,POINT (-73.9723088812383 40.80261866543613),,
X,Temporary Fencing,06/22/2020 10:37:42 AM,Exercise Equipment,X136-01,Harris Park,X136,Harris Playground,Reopened,POINT (-73.89239092602459 40.87512695638039),04/10/2020 02:22:08 PM,06/21/2020 12:00:00 AM
Q,Blocked with Barricade,06/21/2020 07:37:53 PM,Exercise Equipment,Q127,Marconi Park,Q127,Marconi Park,Reopened,POINT (-73.79553022951403 40.693586890964376),04/11/2020 07:00:39 PM,06/21/2020 02:30:00 PM
M,Completely Locked,06/22/2020 04:20:14 PM,Exercise Equipment,M229,Happy Warrior Playground,M229,Happy Warrior Playground,Reopened,POINT (-73.968643030623 40.79547665318389),04/15/2020 04:21:20 PM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 09:58:34 AM,Exercise Equipment,X113,Hunts Point Playground,X113,Hunts Point Playground,Reopened,POINT (-73.88597051944393 40.814136559758325),04/10/2020 10:11:35 AM,06/21/2020 12:00:00 AM
Q,Completely Locked,06/22/2020 05:17:49 PM,Exercise Equipment,Q298,Paul Raimonda Playground,Q298,Paul Raimonda Playground,Reopened,POINT (-73.89744608049097 40.77280249419432),04/11/2020 05:39:43 PM,
M,Blocked with Barricade,06/22/2020 03:34:43 PM,Exercise Equipment,M071-34,Riverside Park,M071,Tot Lot One Hundred Five,Reopened,POINT (-73.97095004711657 40.80175743965775),04/10/2020 11:46:55 AM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 07:55:39 PM,Exercise Equipment,Q085,Gorman Playground,Q085,Gorman Playground,Reopened,POINT (-73.88423696233977 40.76238428065752),04/11/2020 05:56:46 PM,06/21/2020 01:30:00 PM
B,Blocked with Barricade,06/22/2020 12:42:25 PM,Exercise Equipment,B008-03,Betsy Head Park,B008,Imagination Playground at Betsy Head,Reopened,POINT (-73.91182793479264 40.66451174662288),04/10/2020 05:01:06 PM,06/20/2020 12:00:00 AM
X,Completely Locked,06/22/2020 09:29:10 AM,Exercise Equipment,X182,Millbrook Playground,X182,Millbrook Playground,Reopened,POINT (-73.91664783759227 40.80435409215871),04/13/2020 02:08:12 PM,06/21/2020 12:00:00 AM
M,,04/10/2020 11:50:49 AM,Exercise Equipment,M391-ZN02,East River Waterfront Esplanade,M391,East River Waterfront Esplanade Zone 2,Active,POINT (-73.99357061521128 40.70911682778208),,
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN01,Bronx Park,X002,Bronx Park Zone 1,Active,POINT (-73.87018555214237 40.852440598005614),,
R,,06/23/2020 02:37:37 PM,Exercise Equipment,R031-ZN02,Wolfe's Pond Park,R031,Wolfe's Pond Park Zone 2,Active,POINT (-74.18934171811541 40.516787620972146),,
B,Partially Locked,06/22/2020 02:13:51 PM,Exercise Equipment,B217,Marcy Playground,B217,Marcy Playground,Reopened,POINT (-73.95091349362018 40.695521393912465),04/10/2020 11:59:53 AM,06/22/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 11:39:52 AM,Exercise Equipment,Q133,Pat Williams Playground,Q133,Pat Williams Playground,Reopened,POINT (-73.72951806876853 40.713035339280125),04/11/2020 07:13:15 PM,06/21/2020 11:39:50 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B054-ZN01,Lincoln Terrace / Arthur S. Somers Park,B054,Lincoln Terr Pk/Arthur S Somers Zone 1,Active,POINT (-73.92734465085397 40.66591177111679),,
X,Temporary Fencing,06/22/2020 09:41:37 AM,Exercise Equipment,X030,Macombs Dam Park,X030,Macombs Dam Park,Reopened,POINT (-73.92816909012869 40.82876353585811),04/10/2020 02:45:24 PM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B316,DiGilio Playground,B316,DiGilio Playground,Active,POINT (-73.9771308362306 40.632628660086475),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B162,Brizzi Playground,B162,Brizzi Playground,Active,POINT (-73.99464872731261 40.64241752988835),,
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R109,CPL. Thompson Park,R109,CPL. Thompson Park,Active,POINT (-74.11885101101721 40.638064075849634),,
Q,Temporary Fencing,06/21/2020 07:06:46 PM,Exercise Equipment,Q020-01,Highland Park,Q020,Lower Highland Playground,Reopened,POINT (-73.88573854218654 40.68396081226198),04/11/2020 06:23:15 PM,06/21/2020 10:00:00 AM
Q,Completely Locked,06/22/2020 05:16:37 PM,Exercise Equipment,Q174A,St. Michael's Playground,Q174A,St. Michael's Playground,Reopened,POINT (-73.90015135152188 40.75898091465637),04/11/2020 05:35:29 PM,
Q,Temporary Fencing,06/22/2020 05:20:03 PM,Exercise Equipment,Q005-05,Baisley Pond Park,Q005,157 St Playground,Reopened,POINT (-73.7860883963776 40.68408743516865),04/11/2020 07:31:41 PM,
X,Completely Locked,06/22/2020 10:56:24 AM,Exercise Equipment,X159,Playground 174,X159,Playground 174,UnderConstruction,POINT (-73.87776458244036 40.83434856210142),04/10/2020 02:23:08 PM,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B223R,Jaime Campiz Playground,B223R,Jaime Campiz Playground,Active,POINT (-73.95437736789306 40.7135425377962),,
X,Completely Locked,06/22/2020 10:23:30 AM,Exercise Equipment,X102,Ciccarone Park,X102,Ciccarone Park,Reopened,POINT (-73.8867043823755 40.855966189629186),04/10/2020 10:29:34 AM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B057-ZN03,Marine Park,B057,Marine Park Zone 3,Active,POINT (-73.93544957071985 40.60408041176194),,
Q,Blocked with Barricade,06/21/2020 11:31:08 AM,Exercise Equipment,Q364,Marie Curie Playground,Q364,Marie Curie Playground,Reopened,POINT (-73.77177875021114 40.75693569665498),04/11/2020 07:29:31 PM,06/21/2020 11:31:06 AM
B,Blocked with Barricade,06/22/2020 12:20:00 PM,Exercise Equipment,B149A,Elton Playground,B149A,Elton Playground,Reopened,POINT (-73.88073888137447 40.66593255530792),04/10/2020 04:58:34 PM,06/20/2020 12:00:00 AM
B,Completely Locked,06/22/2020 02:18:02 PM,Exercise Equipment,B294,Jackie Robinson Park Playground,B294,Jackie Robinson Park Playground,Reopened,POINT (-73.92781171578808 40.68021202010892),04/10/2020 12:27:26 PM,06/22/2020 12:00:00 AM
M,Completely Locked,06/19/2020 09:59:41 AM,Exercise Equipment,M171,Cherry Clinton Playground,M171,Cherry Clinton Playground,Reopened,POINT (-73.98628029521305 40.71131293656163),04/10/2020 11:57:06 AM,06/19/2020 12:00:00 AM
M,Completely Locked,06/22/2020 10:39:42 AM,Exercise Equipment,M041,Alexander Hamilton Playground,M041,Alexander Hamilton Playground,Reopened,POINT (-73.95128561178713 40.823079155068555),04/10/2020 02:13:47 PM,06/21/2020 12:00:00 AM
X,Completely Locked,06/22/2020 09:49:25 AM,Exercise Equipment,X148A2,Plimpton Playground,X148A2,Plimpton Playground,Reopened,POINT (-73.92241783996984 40.843925331858806),04/16/2020 10:43:03 AM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 11:03:34 AM,Exercise Equipment,Q105,Howard Von Dohlen Playground,Q105,Howard Von Dohlen Playground,Reopened,POINT (-73.81297834293107 40.69944018455653),04/11/2020 07:31:04 PM,06/23/2020 11:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B052-03,Leif Ericson Park,B052,Leif Ericson Park Playground,Active,POINT (-74.01190423157917 40.630818264303834),,
X,Completely Locked,06/22/2020 10:27:27 AM,Exercise Equipment,X257,Mount Hope Playground,X257,Mount Hope Playground,Reopened,POINT (-73.90943943807447 40.85029833371388),04/10/2020 02:14:11 PM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 11:01:11 AM,Exercise Equipment,Q005-12,Baisley Pond Park,Q005,Rockaway Blvd Playground,Reopened,POINT (-73.78772129274583 40.6725676125228),04/11/2020 06:55:11 PM,06/23/2020 11:00:00 AM
B,Completely Locked,06/22/2020 01:58:26 PM,Exercise Equipment,B129-ZN01,Kaiser Park,B129,Kaiser Park Zone 1,Reopened,POINT (-73.9946104382313 40.57856097830441),04/10/2020 04:06:07 PM,06/22/2020 12:00:00 AM
X,Temporary Fencing,06/22/2020 10:38:47 AM,Exercise Equipment,X080-03,Henry Hudson Park,X080,Henry Hudson Playground (West),Reopened,POINT (-73.92043903890611 40.88118467900722),04/17/2020 12:35:55 PM,06/21/2020 12:00:00 AM
M,Blocked with Barricade,06/22/2020 03:53:26 PM,Exercise Equipment,M010-ZN28,Central Park,M010,Ross Pinetum,Reopened,POINT (-73.96808279850276 40.78294918685494),04/10/2020 11:59:36 AM,06/21/2020 12:00:00 AM
Q,,04/11/2020 05:48:33 PM,Exercise Equipment,Q471-ZN02,Hunter's Point South Park,Q471,Hunter's Point South Park Zone 2,Active,POINT (-73.96159862999801 40.739425621922614),,
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B357,Jackie Robinson Playground,B357,Jackie Robinson Playground,Active,POINT (-73.95923738577667 40.665790351540096),,
Q,Temporary Fencing,06/21/2020 07:07:54 PM,Exercise Equipment,Q128,London Planetree Playground,Q128,London Planetree Playground,Reopened,POINT (-73.85324212334196 40.686139829325434),04/11/2020 06:46:34 PM,06/21/2020 09:45:00 AM
M,Taped Off,06/22/2020 04:11:41 PM,Exercise Equipment,M011,Chelsea Park,M011,Chelsea Park,Reopened,POINT (-74.00072824876388 40.74994165135954),04/10/2020 01:12:14 PM,06/21/2020 12:00:00 AM
M,Completely Locked,06/22/2020 04:20:32 PM,Exercise Equipment,M238,Bloomingdale Playground,M238,Bloomingdale Playground,Reopened,POINT (-73.96600104027476 40.79917221464702),04/09/2020 03:22:59 PM,06/21/2020 12:00:00 AM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X126-ZN04,Ferry Point Park,X126,Ferry Point Park Zone 4,Active,POINT (-73.8257334075983 40.819745433218365),,
M,Temporary Fencing,06/22/2020 04:33:41 PM,Exercise Equipment,M198,"Martin Luther King, Jr. Playground",M198,"Martin Luther King, Jr. Playground",Reopened,POINT (-73.95046394626499 40.79983407374057),04/15/2020 04:27:34 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/23/2020 02:54:45 PM,Exercise Equipment,B156,Powell Playground,B156,Powell Playground,Reopened,POINT (-73.90482748554767 40.671272940120616),04/10/2020 05:01:55 PM,06/20/2020 12:00:00 AM
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R109-01,CPL. Thompson Park,R109,Corporal Thompson Playground,Active,POINT (-74.11803173698999 40.63892148395194),,
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R106-ZN03,Bloomingdale Park,R106,Bloomingdale Park Zone 3,Active,POINT (-74.2094651280486 40.53302586858849),,
B,Completely Locked,06/23/2020 02:57:09 PM,Exercise Equipment,B267,Winthrop Playground,B267,Winthrop Playground,Reopened,POINT (-73.95436927754135 40.656569624722536),04/10/2020 01:01:20 PM,06/22/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 12:29:29 PM,Exercise Equipment,Q437,Murray Hill Playground,Q437,Murray Hill Playground,Reopened,POINT (-73.81183043181511 40.76166701382999),04/11/2020 07:27:49 PM,06/23/2020 12:29:28 PM
B,Completely Locked,06/23/2020 02:56:55 PM,Exercise Equipment,B193,Hamilton Metz Field,B193,Hamilton Metz Field,UnderConstruction,POINT (-73.94096520005297 40.6625664067098),04/10/2020 01:00:52 PM,
Q,Completely Locked,06/22/2020 05:16:50 PM,Exercise Equipment,Q205A,Big Bush Playground,Q205A,Big Bush Playground,Reopened,POINT (-73.90262797225797 40.7396080387653),04/11/2020 05:46:31 PM,
B,Taped Off,06/23/2020 02:55:32 PM,Exercise Equipment,B087,Sunset Park,B087,Sunset Park,Reopened,POINT (-74.00374340596935 40.64797630201613),04/10/2020 12:37:25 PM,06/22/2020 12:00:00 AM
X,Temporary Fencing,06/22/2020 09:31:09 AM,Exercise Equipment,X041,Pulaski Park,X041,Pulaski Park,Reopened,POINT (-73.92456568539104 40.80524231318758),04/13/2020 01:33:19 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 02:20:32 PM,Exercise Equipment,B266,Star Spangled Playground,B266,Star Spangled Playground,Reopened,POINT (-73.95795318223661 40.69189603258584),04/10/2020 12:26:32 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/22/2020 01:11:04 PM,Exercise Equipment,B110,Marion Hopkinson Playground,B110,Marion Hopkinson Playground,Reopened,POINT (-73.91331971321605 40.681781155300754),04/10/2020 05:01:31 PM,06/20/2020 12:00:00 AM
B,Completely Locked,06/22/2020 03:21:15 PM,Exercise Equipment,B055,Sternberg Park,B055,Sternberg Park,Reopened,POINT (-73.94724412443163 40.70622664370648),04/10/2020 11:36:06 AM,06/21/2020 12:00:00 AM
X,Temporary Fencing,06/22/2020 10:00:13 AM,Exercise Equipment,X029,Lyons Square Playground,X029,Lyons Square Park,Reopened,POINT (-73.88807089854696 40.82277492741598),04/14/2020 11:20:43 AM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 11:03:53 AM,Exercise Equipment,Q448-ZN03,Roy Wilkins Recreation Center,Q448,Roy Wilkins Rec Center Zone 3,Reopened,POINT (-73.77385916183722 40.68816534920979),04/12/2020 05:18:58 PM,06/23/2020 11:00:00 AM
Q,Temporary Fencing,06/22/2020 10:20:18 AM,Exercise Equipment,Q300-05,Kissena Corridor Park,Q300,Rachel Carson Playground,Reopened,POINT (-73.82235858041797 40.749125525041045),04/11/2020 07:27:04 PM,06/22/2020 10:20:14 AM
M,Completely Locked,06/19/2020 10:01:28 AM,Exercise Equipment,M064,Lillian D Wald Playground,M064,Lillian D Wald Playground,Reopened,POINT (-73.98436372971324 40.71204164572226),04/10/2020 11:56:13 AM,06/19/2020 12:00:00 AM
